GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
5001600US0101,"Congressional District 1 (116th Congress), Alabama",267433,1743,8.8,0.4,5.6,0.3,11.4,0.5,10.8,0.4,13.6,0.5,17.9,0.5,11.5,0.5,12.1,0.4,4.5,0.3,3.9,0.3,49773,762,68427,888,37.2,(X),(X),(X),(X),(X),173365,2240,5.1,0.4,2.9,0.3,8.1,0.5,9.1,0.5,13.3,0.6,19.9,0.6,14.1,0.6,15.9,0.6,6.2,0.4,5.3,0.3,63358,952,82470,1129,(X),(X),37.9,(X),(X),(X),124206,1981,1.7,0.3,1.2,0.2,4.4,0.4,7.2,0.5,11.9,0.7,21.2,0.7,17.1,0.7,20.3,0.8,8,0.5,7,0.5,78511,1084,98058,1406,(X),(X),(X),(X),(X),(X),94068,2173,16.4,0.9,10.8,0.8,18.2,0.9,13.8,0.8,14,0.8,13.8,0.9,6.2,0.6,4.4,0.5,1.1,0.3,1.2,0.2,27582,865,40692,1265,(X),(X),(X),(X),35,(X)
5001600US0102,"Congressional District 2 (116th Congress), Alabama",258520,1629,8.7,0.4,5.9,0.3,11.9,0.4,10.6,0.4,14,0.5,17.7,0.5,11.9,0.5,12.2,0.4,3.9,0.2,3.2,0.2,48611,702,66166,830,37.8,(X),(X),(X),(X),(X),169595,1695,5.6,0.4,3.2,0.3,8.8,0.5,9.5,0.5,13.7,0.6,19.2,0.6,14.3,0.6,16.2,0.5,5.3,0.3,4.4,0.3,61112,1075,78457,1182,(X),(X),38.3,(X),(X),(X),118392,1803,1.6,0.2,1.4,0.2,4.8,0.4,7.2,0.5,12.5,0.6,20.6,0.7,17.4,0.7,21.4,0.7,7.2,0.4,5.9,0.4,77182,1057,93769,1322,(X),(X),(X),(X),(X),(X),88925,1553,15.8,0.9,11.4,0.7,19.3,0.9,12.7,0.8,14,0.7,14.2,0.8,6.6,0.5,4,0.4,1.2,0.2,0.9,0.2,27292,736,40433,1095,(X),(X),(X),(X),35.3,(X)
5001600US0103,"Congressional District 3 (116th Congress), Alabama",272967,1804,9.2,0.4,6,0.4,12.2,0.4,10.5,0.5,12.6,0.5,18.3,0.5,11.7,0.6,11.9,0.4,4.2,0.3,3.1,0.2,49110,877,65642,872,38.1,(X),(X),(X),(X),(X),181099,1850,5.1,0.3,3.1,0.4,8.8,0.5,9.7,0.6,12.2,0.5,20.5,0.7,14.7,0.7,15.9,0.6,5.8,0.4,4.3,0.3,62819,816,79084,1154,(X),(X),38.1,(X),(X),(X),131494,1952,1.6,0.2,1.6,0.2,4.8,0.4,7.8,0.6,11.6,0.7,22.1,0.8,17.4,0.9,19.9,0.7,7.6,0.5,5.6,0.4,75769,1205,92621,1514,(X),(X),(X),(X),(X),(X),91868,1865,18.6,1,12.4,0.8,19.8,1,12.4,0.8,13.1,0.9,13.3,0.9,5.3,0.6,3.7,0.5,0.7,0.2,0.8,0.2,24485,927,36918,1352,(X),(X),(X),(X),36.4,(X)
5001600US0104,"Congressional District 4 (116th Congress), Alabama",259624,1814,7.9,0.4,6.6,0.3,13.5,0.4,11.4,0.4,14.9,0.5,17.5,0.4,11.5,0.4,10.9,0.4,3.3,0.2,2.7,0.2,45111,723,61910,935,38,(X),(X),(X),(X),(X),178869,1713,4.9,0.3,3.3,0.3,9.3,0.4,10.8,0.5,15,0.6,19.9,0.6,14.7,0.6,14.2,0.6,4.4,0.3,3.5,0.3,57127,919,73086,1273,(X),(X),38.2,(X),(X),(X),136656,1726,1.9,0.3,2,0.3,6.9,0.4,9.1,0.5,14.8,0.7,21.5,0.7,17,0.7,17.1,0.7,5.5,0.4,4.3,0.4,66850,1126,82856,1466,(X),(X),(X),(X),(X),(X),80755,1520,15.8,0.9,14.3,0.8,23.2,0.9,13,0.8,14.2,0.8,11,0.9,4.1,0.4,2.8,0.4,0.6,0.2,0.8,0.2,23274,575,34977,1010,(X),(X),(X),(X),36.4,(X)
5001600US0105,"Congressional District 5 (116th Congress), Alabama",285320,1636,6.2,0.4,5.3,0.3,10.2,0.4,10,0.5,12.4,0.4,16.9,0.5,12.5,0.4,14.6,0.5,6.4,0.3,5.5,0.3,57758,778,78382,897,32.5,(X),(X),(X),(X),(X),188520,1898,3.8,0.4,2.6,0.3,7,0.4,8.2,0.5,11,0.5,18,0.7,14.6,0.6,18.6,0.6,8.6,0.4,7.5,0.4,74048,1052,93853,1264,(X),(X),32.5,(X),(X),(X),143617,1620,1.5,0.2,1.3,0.2,4,0.3,6.1,0.4,9.6,0.6,18.5,0.7,16.5,0.6,22.3,0.8,10.7,0.5,9.6,0.5,88380,1239,108393,1405,(X),(X),(X),(X),(X),(X),96800,1861,12,0.8,10.6,0.8,17.3,1,13.4,0.8,15.1,0.8,14.3,0.8,7.9,0.6,6.4,0.6,1.7,0.3,1.4,0.2,32253,810,46329,1156,(X),(X),(X),(X),31.5,(X)
5001600US0106,"Congressional District 6 (116th Congress), Alabama",267178,1816,5,0.3,3.8,0.3,7.6,0.4,8.5,0.4,11.8,0.5,17.5,0.6,13.7,0.5,16.8,0.5,7.2,0.3,8,0.3,67967,1023,93475,1199,35.1,(X),(X),(X),(X),(X),185137,1882,2.5,0.3,2,0.3,4.8,0.4,6.6,0.4,10.5,0.5,17.5,0.7,15.4,0.6,20.6,0.6,9.5,0.4,10.7,0.4,84726,1301,110410,1739,(X),(X),35.4,(X),(X),(X),146816,1817,1,0.2,1,0.2,3,0.3,5,0.4,8.8,0.5,16.8,0.7,16.5,0.6,23.7,0.7,11.4,0.5,13,0.6,96811,1251,124538,2074,(X),(X),(X),(X),(X),(X),82041,1746,11.1,0.9,8.1,0.7,14.8,1,13.2,0.9,15.1,0.9,17.5,1,9.1,0.7,7.5,0.7,1.8,0.3,1.9,0.3,37728,1062,52972,1637,(X),(X),(X),(X),33,(X)
5001600US0107,"Congressional District 7 (116th Congress), Alabama",256851,2077,13.5,0.5,8.3,0.4,13.9,0.4,11.4,0.4,13.6,0.6,16.4,0.5,9.2,0.4,9,0.3,2.8,0.2,1.9,0.2,37960,613,53428,839,42.8,(X),(X),(X),(X),(X),150923,2003,8.4,0.5,4.8,0.5,11,0.7,11,0.6,14.1,0.7,19,0.7,12.1,0.6,13,0.5,3.9,0.4,2.6,0.3,50786,922,65267,1265,(X),(X),46.3,(X),(X),(X),82340,1507,2.3,0.4,1.5,0.3,5.5,0.5,7.5,0.6,12.6,0.7,22.2,1,17.6,0.9,19.9,0.7,6.5,0.6,4.5,0.6,72734,1623,86965,1849,(X),(X),(X),(X),(X),(X),105928,1919,21.5,0.9,13.8,0.7,18.5,0.7,12.4,0.7,12.7,1,12.2,0.7,4.5,0.4,2.6,0.4,0.9,0.3,0.9,0.2,22742,727,34877,949,(X),(X),(X),(X),36.9,(X)
5001600US0200,"Congressional District (at Large) (116th Congress), Alaska",253346,1463,4.1,0.3,2.9,0.2,6.5,0.3,6.9,0.3,10.4,0.4,17.6,0.5,14,0.4,19.4,0.5,9.6,0.4,8.6,0.3,77640,1015,98606,1172,32.4,(X),(X),(X),(X),(X),166325,1951,2.8,0.2,1.6,0.2,4.2,0.3,5.4,0.3,8.8,0.5,16.9,0.7,14.3,0.5,23,0.7,12.1,0.5,10.8,0.4,92588,1421,111717,1295,(X),(X),33.6,(X),(X),(X),124603,1750,0.8,0.1,0.7,0.1,2.3,0.2,3.7,0.3,7.2,0.5,15.6,0.7,14.9,0.6,26.6,0.8,14.7,0.6,13.5,0.5,107269,1143,126673,1593,(X),(X),(X),(X),(X),(X),87021,1544,7.9,0.6,5.8,0.6,11.6,0.7,10.4,0.6,13.8,0.8,19.1,0.8,12.8,0.8,11.5,0.8,3.8,0.6,3.3,0.4,50535,1113,67359,2297,(X),(X),(X),(X),27.5,(X)
5001600US0401,"Congressional District 1 (116th Congress), Arizona",255877,1751,9.2,0.3,4.7,0.3,9.4,0.4,9.6,0.4,13.4,0.4,18.4,0.4,12.9,0.5,13.4,0.4,5.2,0.3,3.8,0.3,54503,632,70914,927,38.9,(X),(X),(X),(X),(X),175186,1630,6.1,0.3,2.9,0.3,7.4,0.4,8.3,0.4,13.1,0.5,19.7,0.7,15,0.7,16.5,0.6,6.4,0.3,4.7,0.3,64439,795,80938,1188,(X),(X),40,(X),(X),(X),126805,1627,2.7,0.2,1.5,0.2,5.1,0.4,6.7,0.4,11.4,0.6,20.7,0.7,17.2,0.8,20.5,0.7,8.2,0.4,6,0.4,77280,1057,93316,1403,(X),(X),(X),(X),(X),(X),80691,1761,17.8,1,8.8,0.6,14.6,0.7,13,0.8,14.4,0.8,15.3,0.9,7.3,0.6,5.2,0.5,2,0.4,1.5,0.3,31273,854,45013,1604,(X),(X),(X),(X),34.3,(X)
5001600US0402,"Congressional District 2 (116th Congress), Arizona",303931,1855,6.7,0.3,5.1,0.3,10.6,0.4,10.1,0.3,14.2,0.4,18.2,0.5,12.4,0.4,12.7,0.4,4.9,0.2,5.1,0.3,53864,710,74694,915,31.9,(X),(X),(X),(X),(X),179766,1733,4,0.3,2.7,0.3,6.8,0.5,8.4,0.5,12.7,0.5,19.3,0.7,15.1,0.5,17.1,0.5,6.9,0.4,7,0.4,69593,1034,90980,1453,(X),(X),32.5,(X),(X),(X),132949,1685,1.6,0.2,1.4,0.2,4.2,0.4,6.4,0.5,10.7,0.5,19.8,0.8,17.4,0.6,21,0.7,8.5,0.5,9.1,0.5,83166,1519,105392,1803,(X),(X),(X),(X),(X),(X),124165,2028,11.7,0.6,8.9,0.5,16.7,0.7,12.7,0.6,16.4,0.7,16.1,0.8,8,0.5,5.8,0.5,1.9,0.2,1.9,0.3,35021,691,48739,988,(X),(X),(X),(X),29.7,(X)
5001600US0403,"Congressional District 3 (116th Congress), Arizona",243722,1722,8.1,0.4,4.9,0.3,11.3,0.5,11.3,0.5,14.9,0.5,19.8,0.6,12.5,0.5,11.4,0.4,3.4,0.2,2.3,0.2,49422,837,62846,823,39.3,(X),(X),(X),(X),(X),176574,1822,6,0.4,3.4,0.4,9.8,0.5,11.1,0.6,15,0.6,21.5,0.8,13.7,0.6,12.6,0.5,4.1,0.3,2.7,0.3,54670,812,68131,896,(X),(X),40.6,(X),(X),(X),114311,1831,2.4,0.3,2.1,0.3,6.6,0.6,9,0.6,14,0.8,23.3,1,16.9,0.8,16.5,0.8,5.3,0.4,3.9,0.4,66428,1188,80574,1226,(X),(X),(X),(X),(X),(X),67148,1551,16.6,1,9.5,0.7,16.8,1,12.8,0.9,15.4,1.1,14.2,0.9,7,0.7,5.8,0.6,1.1,0.2,0.8,0.2,30379,882,42495,1447,(X),(X),(X),(X),31.7,(X)
5001600US0404,"Congressional District 4 (116th Congress), Arizona",311658,2317,6.4,0.4,4.3,0.3,11.3,0.4,11.2,0.4,14.4,0.5,20.7,0.6,12.8,0.5,12.2,0.4,3.9,0.2,2.9,0.2,52411,707,67432,863,38.4,(X),(X),(X),(X),(X),204245,2644,3.5,0.3,2,0.2,6.9,0.5,10.3,0.5,14.8,0.6,23.3,0.8,15,0.6,15.4,0.6,5.1,0.3,3.7,0.3,62725,848,77813,1202,(X),(X),38.9,(X),(X),(X),163950,2433,2.5,0.3,1.4,0.2,5,0.4,8.5,0.5,14.2,0.7,24,0.8,16.5,0.7,17.6,0.7,6,0.4,4.3,0.4,68897,1166,84621,1420,(X),(X),(X),(X),(X),(X),107413,2310,13,1,8.8,0.7,20.4,1.2,13.9,0.8,14.3,1,15.1,0.8,7.1,0.6,5.2,0.5,1.1,0.3,1.2,0.2,29761,827,44289,1334,(X),(X),(X),(X),35.9,(X)
5001600US0405,"Congressional District 5 (116th Congress), Arizona",287796,1627,3.8,0.3,2.3,0.2,5.9,0.2,7.2,0.4,11.3,0.4,17.7,0.4,13.7,0.4,19.5,0.4,9.6,0.4,9.1,0.4,77763,918,100026,1307,36.1,(X),(X),(X),(X),(X),206893,1771,2.4,0.2,1.3,0.2,3.8,0.3,5.2,0.3,9.3,0.4,17.5,0.5,15,0.6,22.6,0.5,11.6,0.4,11.2,0.4,91520,1103,112862,1622,(X),(X),36.2,(X),(X),(X),167713,1907,1.5,0.2,0.8,0.1,2.8,0.2,4.2,0.3,8,0.5,15.9,0.5,15.5,0.7,24.7,0.6,13.6,0.5,13,0.5,102209,1207,122788,1810,(X),(X),(X),(X),(X),(X),80903,1575,8.2,0.7,5.4,0.5,12.1,0.8,13,0.8,16.8,0.9,18.6,0.9,9.7,0.6,9.8,0.7,3.2,0.4,3.3,0.4,44698,1104,61700,1577,(X),(X),(X),(X),34.2,(X)
5001600US0406,"Congressional District 6 (116th Congress), Arizona",325134,1673,4.6,0.2,2.8,0.2,7.3,0.3,7.4,0.3,11.8,0.4,16.6,0.5,13.3,0.5,15.9,0.4,7.8,0.3,12.6,0.4,74373,929,110423,1374,34.1,(X),(X),(X),(X),(X),200980,1841,3.1,0.3,1.6,0.2,4.5,0.3,5.5,0.3,9.7,0.5,16.1,0.5,13.7,0.5,18.8,0.6,9.9,0.4,17.1,0.5,91311,1393,132479,1893,(X),(X),35.7,(X),(X),(X),153903,1870,1.6,0.2,0.9,0.2,2.9,0.3,4,0.3,7.9,0.6,14.6,0.6,13.9,0.6,21.2,0.8,11.8,0.6,21.1,0.7,108059,1609,152018,2470,(X),(X),(X),(X),(X),(X),124154,1777,7.8,0.5,4.9,0.5,12.1,0.7,10.9,0.7,15.4,0.8,17.4,0.9,11.9,0.8,10.8,0.7,3.9,0.4,5,0.6,48872,1159,71554,1778,(X),(X),(X),(X),30.5,(X)
5001600US0407,"Congressional District 7 (116th Congress), Arizona",242741,1877,8.9,0.5,5.9,0.4,12,0.5,12.1,0.5,16.3,0.5,18.9,0.5,10.7,0.4,9.9,0.4,3.1,0.2,2.2,0.2,44893,617,59024,854,45.3,(X),(X),(X),(X),(X),163850,1735,7.6,0.5,4.6,0.4,11.5,0.6,12.2,0.7,16.2,0.7,19.5,0.7,11.5,0.6,10.8,0.5,3.6,0.3,2.5,0.2,47701,941,62596,1046,(X),(X),47.5,(X),(X),(X),92326,1851,2.8,0.4,2.8,0.4,8.3,0.7,10.3,0.8,15.1,1,21.1,0.8,14.9,0.9,15.3,0.7,5.3,0.5,3.9,0.4,61417,1343,77095,1607,(X),(X),(X),(X),(X),(X),78891,1379,15.5,1,9.3,0.7,15.2,0.9,13.4,0.9,15.7,0.9,15.2,1,7.3,0.7,5.6,0.6,1.5,0.3,1.2,0.3,31785,692,44200,1262,(X),(X),(X),(X),36.1,(X)
5001600US0408,"Congressional District 8 (116th Congress), Arizona",288901,1740,4.3,0.3,2.6,0.2,6.9,0.3,8.3,0.3,12.5,0.5,19.2,0.5,15.2,0.5,18.2,0.5,6.9,0.3,5.9,0.3,68977,782,86555,907,33.9,(X),(X),(X),(X),(X),202435,1716,2.4,0.3,1.4,0.2,3.8,0.3,6,0.3,11.8,0.5,19.6,0.6,17.3,0.6,21.9,0.6,8.5,0.4,7.2,0.4,81437,858,98156,1115,(X),(X),34.6,(X),(X),(X),159673,1893,1.6,0.2,0.9,0.2,2.6,0.3,4.6,0.3,10,0.6,18.6,0.6,17.9,0.7,24.8,0.7,10.1,0.5,8.7,0.5,90478,1036,107588,1380,(X),(X),(X),(X),(X),(X),86466,1439,9.7,0.7,5.6,0.6,14.8,0.7,14.3,0.8,15.6,0.8,18.3,0.9,9.4,0.6,7.8,0.6,2.4,0.3,2.1,0.3,39970,928,54329,1424,(X),(X),(X),(X),30.9,(X)
5001600US0409,"Congressional District 9 (116th Congress), Arizona",311508,2176,6.7,0.4,3.7,0.3,8.7,0.4,9.3,0.3,13.6,0.5,17.9,0.5,12.3,0.4,14.4,0.4,6.1,0.3,7.2,0.3,60050,760,85079,1000,34.8,(X),(X),(X),(X),(X),169269,2144,3.9,0.4,2.3,0.3,6.4,0.5,7.6,0.5,11.6,0.6,17.6,0.6,13.8,0.6,18.1,0.6,8.4,0.4,10.3,0.4,75878,1048,104027,1609,(X),(X),36,(X),(X),(X),112750,1974,1.2,0.2,1.4,0.3,3.6,0.4,5.3,0.4,9.4,0.5,16.3,0.7,15,0.8,22.3,0.8,11.2,0.6,14.3,0.6,95920,1361,126053,2421,(X),(X),(X),(X),(X),(X),142239,2259,11.2,0.7,5.8,0.5,11.8,0.6,11.8,0.6,16.3,0.8,18,0.7,9.9,0.5,9.4,0.6,3,0.3,3,0.3,43187,871,59321,1264,(X),(X),(X),(X),31.8,(X)
5001600US0501,"Congressional District 1 (116th Congress), Arkansas",283327,1698,8.4,0.4,7.2,0.3,14.1,0.5,12.5,0.4,14.7,0.5,17.7,0.4,11,0.4,9.3,0.4,2.9,0.2,2.3,0.2,42417,673,58614,962,36.2,(X),(X),(X),(X),(X),188353,1695,5.1,0.4,3.7,0.3,10.6,0.5,11.6,0.5,15.4,0.6,20.4,0.6,13.7,0.6,12.5,0.5,4,0.3,3,0.3,53510,799,69635,1273,(X),(X),36.6,(X),(X),(X),134080,1639,1.4,0.2,1.8,0.2,7,0.4,9.7,0.6,15,0.7,22.7,0.7,16.9,0.7,16.2,0.7,5.3,0.4,3.9,0.3,65636,1114,81920,1702,(X),(X),(X),(X),(X),(X),94974,1566,16,0.9,14.8,0.7,22.2,1,14.7,0.8,12.9,0.7,11.4,0.7,4.5,0.5,2.5,0.3,0.5,0.2,0.7,0.2,22987,725,34042,848,(X),(X),(X),(X),33.8,(X)
